"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Armenia","ARM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2760.24950024614","2476.60309205127","1491.61267174295","1440.39367766113","1591.47883514103","1766.91014761234","1921.54998904796","2039.78832278035","2239.42758318044","2376.51916946578","2530.74394657194","2844.36266367009","3282.11706337369","3836.22556768673","4377.22759682551","5172.2189210295","6072.75924479855","7136.75405519953","7827.31666746494","6811.69247959581","7095.21267979009","7624.26772626905","8942.63537897164","9454.87852836557","9736.2349746279","9756.84084836026","10570.2720413936","12066.0043093819","12877.4937543553","14975.7539538157","14706.3173043422","15921.705281964","19161.3700514189","21534.030536117","22823.1795255693","",
"American Samoa","ASM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12996.0453528789","13658.4986142765","13908.4512651294","14719.5095217977","15736.1681149521","15062.3522451447","16016.9331941163","16836.0619448521","17496.1487515533","18088.3822356782","19318.8965779721","18568.679914651","18812.7827770729","20127.345572169","21628.6836541675","23484.8001051691","26949.4085821346","29850.5675734636","29978.2095861092","26156.9151715965","24071.0297956482","23804.0790107696","23011.7386611366","21760.5232864254","21671.4737856616","20985.4388292177","21320.4375067809","21422.0021576627","24524.2137953887","26550.589844733","22370.0918693813","25745.4958067746","29933.8893698902","31601.7527146877","33386.1917127894","",
"Australia","AUS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17385.4985419393","17839.0574706042","18258.7234358128","19220.342291254","20173.6335372371","21049.6150181971","22133.8442785709","23141.8588888881","24386.3255539195","25530.8859233341","26584.8191965725","27687.7587444103","29080.0439286946","30167.241365541","31814.504982852","33089.7023501837","34890.2248136693","36708.1660067256","37616.0112400482","40434.4890899118","39504.361082784","42152.816179831","43007.2697824131","46123.4750962848","47108.5906459966","46464.5867627929","47446.2103030951","48564.8286592372","50371.233830782","52885.8313816377","54184.1614486854","58327.4146842325","66103.1797066957","72272.7092136683","72111.1844628126","",
"Austria","AUT","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19395.859898704","20535.8247267043","21208.8392210406","21646.6833009529","22553.0074289088","23604.0281966141","24426.7640962842","25300.6439049694","26530.9354041171","27500.084954534","29220.9853040358","29553.2333509767","30952.1708232398","31958.8592412083","33518.5160023521","34776.6699535218","37388.0795380765","39192.372452379","41046.7900352112","40686.6736355681","41735.4574798744","44171.5618687028","46156.4832073037","47519.8522796571","48355.4977624407","49549.3162311441","52397.8635176674","53869.8321183556","56636.4953030542","60354.9279422121","58523.0337816246","62968.9422311892","72065.4974270106","73544.6567230487","73911.439663136","",
"Azerbaijan","AZE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5342.57081575693","5412.09760190727","4220.14637291832","3272.23795027702","2647.76538426156","2356.89780147658","2406.7723161914","2565.40828177036","2826.70693433931","3051.94233354906","3439.14442872326","3834.89815906415","4230.40590214072","4718.42112339403","5247.53834365156","6854.93618778844","9398.01324794263","11973.9596323536","13216.8434974432","14245.503536619","14930.4099928423","14804.5744507911","15994.1466501837","17267.5118919538","17563.6122454385","15075.2726347911","14535.8020210633","14315.9296431061","15282.9995232298","16675.3179361558","15163.5703327282","20111.3756952109","22552.0886560523","23651.5994852756","25088.9993757134","",
"Burundi","BDI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","598.305045994166","636.146440172434","639.876865850147","633.81242046807","618.519709020626","547.689757596573","512.745181432347","513.333205390103","533.471289523892","522.875578671651","519.237306665577","528.435573413436","544.922790017055","531.812612194556","551.562209243605","553.047973759863","579.707804423789","593.560734529723","609.042906461819","604.588154080249","613.695880049889","628.665448296178","637.247080191101","687.370968311715","724.371954183273","722.032898379933","764.282221636916","791.393494929898","823.013102241659","868.423731660834","958.135599490084","1035.53857384938","1104.77718764878","1149.98405842389","1194.94681370387","",
"Belgium","BEL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18687.7257960975","19600.8963598198","20272.01785535","20472.777919689","21518.2541385756","22446.2748072391","22745.2145866007","23733.4493485094","24370.3723671522","25440.8411888638","27794.0511630862","28793.5142643594","30282.2886450283","30930.6283334744","32059.6878637798","33177.8909458158","35251.4450697593","36798.1918857259","37883.3319417819","37905.658312629","39839.9772772918","41244.8495035213","42483.5250666788","43864.1204196838","45147.6429534057","46071.914889496","48414.5518065681","50256.0631772784","52466.7330784599","56712.469571978","56120.0958420466","60669.2137746531","69128.1388883843","71946.1447190292","73514.4831045258","",
"Benin","BEN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1186.11606902616","1239.22499734744","1265.25241875078","1311.34449338815","1316.24432539105","1395.26644444059","1443.96771280369","1507.92415400422","1537.14382552758","1592.13782139447","1671.35725172854","1745.98256227696","1799.88269639499","1841.60297283874","1915.34644346381","1945.56414052296","2020.60567734722","2135.53787873721","2215.35163859542","2213.32895620809","2220.32854611489","2264.84186926384","2346.08416204547","2511.65309588333","2670.41561399187","2725.33724817144","2842.0246258376","2885.89383987721","2965.30628143664","3148.97969597838","3244.58772756805","3464.2886286745","3844.15415745816","4129.9661200142","4434.5642184028","",
"Burkina Faso","BFA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","566.944147291823","623.26800170847","623.38499529255","644.03546436099","649.842407598738","683.639151581195","753.30916674031","793.970841435486","838.079355290011","886.434090650903","896.477481510815","947.919374676953","973.983933383218","1037.83799374653","1079.00009142751","1171.76432319587","1244.00243844319","1290.49951017424","1351.36041569133","1359.69224907302","1449.42216382921","1531.34338243982","1571.83884477315","1642.89213125776","1661.31773793757","1691.57935387408","1881.75893134407","2042.40295259917","2073.3235382155","2232.16282016585","2380.72282781802","2486.43093147762","2645.24067996611","2759.30205484605","2895.89152033665","",
